name,type,id
Acworth,City Council,1300408
Albany,City Council,1301052
Alpharetta,City Council,1301696
Americus,City Council,1302116
Appling County,County Commission,13001
Appling County School District,School Board,1300060
Athens-Clarke County,County Commission,13059
Atkinson County,County Commission,13003
Atkinson County School District,School Board,1300090
Atlanta,City Council,1304000
Atlanta City School District,School Board,1300120
Augusta - Richmond County,County Commission,13245
Bacon County,County Commission,13005
Bacon County School District,School Board,1300150
Bainbridge,City Council,1304896
Baker County,County Commission,13007
Baker County School District,School Board,1300180
Baldwin County,County Commission,13009
Baldwin County School District,School Board,1300210
Banks County,County Commission,13011
Banks County School District,School Board,1300240
Barrow County,County Commission,13013
Barrow County School District,School Board,1300290
Bartow County,County Commission,13015
Bartow County School District,School Board,1300330
Ben Hill County,County Commission,13017
Ben Hill County School District,School Board,1300360
Berrien County,County Commission,13019
Berrien County School District,School Board,1300390
Bibb County School District,School Board,1300420
Blakely,City Council,1308536
Bleckley County,County Commission,13023
Bleckley County School District,School Board,1300440
Brantley County,County Commission,13025
Brantley County School District,School Board,1300480
Braselton,City Council,1310076
Bremen City School District,School Board,1300510
Brookhaven,City Council,1310944
Brooks County,County Commission,13027
Brooks County School District,School Board,1300540
Brunswick,City Council,1311560
Bryan County,County Commission,13029
Bryan County School District,School Board,1300570
Buford,City Council,1311784
Buford City School District,School Board,1300600
Bulloch County,County Commission,13031
Bulloch County School District,School Board,1300630
Burke County,County Commission,13033
Burke County School District,School Board,1300660
Butts County,County Commission,13035
Butts County School District,School Board,1300690
Cairo,City Council,1312400
Calhoun,City Council,1312456
Calhoun City School District,School Board,1300720
Calhoun County,County Commission,13037
Calhoun County School District,School Board,1300750
Camden County,County Commission,13039
Camden County School District,School Board,1300780
Candler County,County Commission,13043
Candler County School District,School Board,1300810
Canton,City Council,1312988
Carroll County,County Commission,13045
Carroll County School District,School Board,1300840
Carrollton,City Council,1313492
Carrollton City School District,School Board,1300870
Cartersville,City Council,1313688
Cartersville City School District,School Board,1300900
Catoosa County,County Commission,13047
Catoosa County School District,School Board,1300930
Cedartown,City Council,1314500
Chamblee,City Council,1315172
Charlton County,County Commission,13049
Charlton County School District,School Board,1300990
Chatham County,County Commission,13051
Chatham County School District,School Board,1301020
Chattahoochee County,County Commission,13053
Chattahoochee County School District,School Board,1301050
Chattahoochee Hills,City Council,1315552
Chattooga County,County Commission,13055
Chattooga County School District,School Board,1301080
Cherokee County,County Commission,13057
Cherokee County School District,School Board,1301110
Chickamauga City School District,School Board,1301140
Clarke County School District,School Board,1301170
Clarkston,City Council,1316544
Clay County,County Commission,13061
Clay County School District,School Board,1301200
Clayton,City Council,1316656
Clayton County,County Commission,13063
Clayton County School District,School Board,1301230
Clinch County,County Commission,13065
Clinch County School District,School Board,1301260
Cobb County,County Commission,13067
Cobb County School District,School Board,1301290
Coffee County,County Commission,13069
Coffee County School District,School Board,1301350
College Park,City Council,1317776
Colquitt County,County Commission,13071
Colquitt County School District,School Board,1301380
Columbia County,County Commission,13073
Columbia County School District,School Board,1301410
Columbus - Muscogee County,County Commission,13215
Commerce City School District,School Board,1301440
Conyers,City Council,1319336
Cook County,County Commission,13075
Cook County School District,School Board,1301470
Cordele,City Council,1319616
Covington,City Council,1320064
Coweta County,County Commission,13077
Coweta County School District,School Board,1301500
Crawford County,County Commission,13079
Crawford County School District,School Board,1301530
Crisp County,County Commission,13081
Crisp County School District,School Board,1301560
Dacula,City Council,1321184
Dade County,County Commission,13083
Dade County School District,School Board,1301590
Dallas,City Council,1321324
Dalton,City Council,1321380
Dalton City School District,School Board,1301620
Dawson County,County Commission,13085
Dawson County School District,School Board,1301650
DeKalb County,County Commission,13089
DeKalb County School District,School Board,1301740
Dearing,City Council,1322024
Decatur,City Council,1322052
Decatur City School District,School Board,1301680
Decatur County,County Commission,13087
Decatur County School District,School Board,1301710
Dodge County,County Commission,13091
Dodge County School District,School Board,1301770
Dooly County,County Commission,13093
Dooly County School District,School Board,1301800
Doraville,City Council,1323536
Dougherty County,County Commission,13095
Dougherty School District,School Board,1301830
Douglas,City Council,1323872
Douglas County,County Commission,13097
Douglas County School District,School Board,1301860
Douglasville,City Council,1323900
Dublin,City Council,1324376
Dublin City School District,School Board,1301870
Duluth,City Council,1324600
Dunwoody,City Council,1324768
Early County,County Commission,13099
Early County School District,School Board,1301920
East Point,City Council,1325720
Echols County,County Commission,13101
Echols County School District,School Board,1301950
Effingham County,County Commission,13103
Effingham County School District,School Board,1301980
Elbert County,County Commission,13105
Elbert County School District,School Board,1302010
Emanuel County,County Commission,13107
Emanuel County School District,School Board,1302040
Evans County,County Commission,13109
Evans County School District,School Board,1302070
Fairburn,City Council,1328380
Fannin County,County Commission,13111
Fannin County School District,School Board,1302100
Fayette County,County Commission,13113
Fayette County School District,School Board,1302130
Fayetteville,City Council,1328968
Floyd County,County Commission,13115
Floyd County School District,School Board,1302190
Forest Park,City Council,1330536
Forsyth County,County Commission,13117
Forsyth County School District,School Board,1302220
Fort Oglethorpe,City Council,1330956
Fort Stewart School District,School Board,1300003
Franklin County,County Commission,13119
Franklin County School District,School Board,1302250
Fulton County,County Commission,13121
Fulton County School District,School Board,1302280
Gainesville,City Council,1331908
Gainesville City School District,School Board,1302310
Garden City,City Council,1332048
Georgetown-Quitman County,County Commission,13239
Gilmer County,County Commission,13123
Gilmer County School District,School Board,1302340
Glascock County,County Commission,13125
Glascock County School District,School Board,1302370
Glynn County,County Commission,13127
Glynn County School District,School Board,1302400
Gordon County,County Commission,13129
Gordon County School District,School Board,1302430
Grady County,County Commission,13131
Grady County School District,School Board,1302460
Greene County,County Commission,13133
Greene County School District,School Board,1302490
Griffin,City Council,1335324
Grovetown,City Council,1335716
Gwinnett County,County Commission,13135
Gwinnett County School District,School Board,1302550
Habersham County,County Commission,13137
Habersham County School District,School Board,1302580
Hall County,County Commission,13139
Hall County School District,School Board,1302610
Hancock County,County Commission,13141
Hancock County School District,School Board,1302640
Haralson County,County Commission,13143
Haralson County School District,School Board,1302670
Harris County,County Commission,13145
Harris County School District,School Board,1302700
Hart County,County Commission,13147
Hart County School District,School Board,1302730
Heard County,County Commission,13149
Heard County School District,School Board,1302790
Henry County,County Commission,13151
Henry County School District,School Board,1302820
Hiawassee,City Council,1338124
Hinesville,City Council,1338964
Holly Springs,City Council,1339524
Houston County,County Commission,13153
Houston County School District,School Board,1302880
Irwin County,County Commission,13155
Irwin County School District,School Board,1302910
Jackson County,County Commission,13157
Jackson County School District,School Board,1302940
Jasper County,County Commission,13159
Jasper County School District,School Board,1302970
Jeff Davis County,County Commission,13161
Jeff Davis County School District,School Board,1303000
Jefferson,City Council,1341988
Jefferson City School District,School Board,1303030
Jefferson County,County Commission,13163
Jefferson County School District,School Board,1303060
Jenkins County,County Commission,13165
Jenkins County School District,School Board,1303090
Jesup,City Council,1342268
Johns Creek,City Council,1342425
Johnson County,County Commission,13167
Johnson County School District,School Board,1303120
Jones County,County Commission,13169
Jones County School District,School Board,1303150
Kennesaw,City Council,1343192
Kingsland,City Council,1343640
LaGrange,City Council,1344340
Lamar County,County Commission,13171
Lamar County School District,School Board,1303210
Lanier County,County Commission,13173
Lanier County School District,School Board,1303240
Laurens County,County Commission,13175
Laurens County School District,School Board,1301890
Lawrenceville,City Council,1345488
Lee County,County Commission,13177
Lee County School District,School Board,1303270
Liberty County,County Commission,13179
Liberty County School District,School Board,1303300
Lilburn,City Council,1346356
Lincoln County,County Commission,13181
Lincoln County School District,School Board,1303330
Loganville,City Council,1347196
Long County,County Commission,13183
Long County School District,School Board,1303360
Lovejoy,City Council,1347616
Lowndes County,County Commission,13185
Lowndes County School District,School Board,1303390
Lumpkin County,County Commission,13187
Lumpkin County School District,School Board,1303420
Macon - Bibb County,County Commission,13021
Macon County,County Commission,13193
Macon County School District,School Board,1303450
Madison County,County Commission,13195
Madison County School District,School Board,1303480
Marietta,City Council,1349756
Marietta City School District,School Board,1303510
Marion County,County Commission,13197
Marion County School District,School Board,1303540
McDonough,City Council,1348624
McDuffie County,County Commission,13189
McDuffie County School District,School Board,1303570
McIntosh County,County Commission,13191
McIntosh County School District,School Board,1303600
Meriwether County,County Commission,13199
Meriwether County School District,School Board,1303630
Milledgeville,City Council,1351492
Miller County,County Commission,13201
Miller County School District,School Board,1303660
Milton,City Council,1351670
Mitchell County,County Commission,13205
Mitchell County School District,School Board,1303690
Monroe,City Council,1352192
Monroe County,County Commission,13207
Monroe County School District,School Board,1303720
Montgomery County,County Commission,13209
Montgomery County School District,School Board,1303750
Morgan County,County Commission,13211
Morgan County School District,School Board,1303780
Moultrie,City Council,1353060
Mountain Park,City Council,1353186
Murray County,County Commission,13213
Murray County School District,School Board,1303840
Muscogee County School District,School Board,1303870
Newnan,City Council,1355020
Newton County,County Commission,13217
Newton County School District,School Board,1303930
Norcross,City Council,1355776
Oconee County,County Commission,13219
Oconee County School District,School Board,1303960
Oglethorpe,City Council,1357736
Oglethorpe County,County Commission,13221
Oglethorpe County School District,School Board,1303990
Paulding County,County Commission,13223
Paulding County School District,School Board,1304020
Peach County,County Commission,13225
Peach County School District,School Board,1304050
Peachtree Corners,City Council,1359735
Pelham City School District,School Board,1304080
Perry,City Council,1360340
Pickens County,County Commission,13227
Pickens County School District,School Board,1304110
Pierce County,County Commission,13229
Pierce County School District,School Board,1304140
Pike County,County Commission,13231
Pike County School District,School Board,1304170
Polk County,County Commission,13233
Polk County School District,School Board,1304200
Pooler,City Council,1362104
Port Wentworth,City Council,1362328
Powder Springs,City Council,1362524
Pulaski County,County Commission,13235
Pulaski County School District,School Board,1304220
Putnam County,County Commission,13237
Putnam County School District,School Board,1304260
Quitman,City Council,1363224
Quitman County School District,School Board,1304290
Rabun County,County Commission,13241
Rabun County School District,School Board,1304320
Randolph County,County Commission,13243
Randolph County School District,School Board,1304350
Reynolds,City Council,1364876
Richmond County School District,School Board,1304380
Richmond Hill,City Council,1365044
Rincon,City Council,1365296
Riverdale,City Council,1365464
Rockdale County,County Commission,13247
Rockdale County School District,School Board,1304410
Rome,City Council,1366668
Rome City School District,School Board,1304440
Roswell,City Council,1367284
Sandy Springs,City Council,1368516
Savannah,City Council,1369000
Schley County,County Commission,13249
Schley County School District,School Board,1304470
Screven County,County Commission,13251
Screven County School District,School Board,1304500
Seminole County,County Commission,13253
Seminole County School District,School Board,1304530
Smyrna,City Council,1371492
Snellville,City Council,1371604
Social Circle City School District,School Board,1304540
South Fulton,City Council,1372122
Spalding County,County Commission,13255
Spalding County School District,School Board,1302520
Statesboro,City Council,1373256
Stephens County,County Commission,13257
Stephens County School District,School Board,1304560
Stewart County,County Commission,13259
Stewart County School District,School Board,1304590
Stockbridge,City Council,1373704
Stonecrest,City Council,1373784
Sugar Hill,City Council,1374180
Sumter County,County Commission,13261
Sumter County School District,School Board,1304620
Suwanee,City Council,1374936
Talbot County,County Commission,13263
Talbot County School District,School Board,1304650
Taliaferro County,County Commission,13265
Taliaferro County School District,School Board,1304680
Tattnall County,County Commission,13267
Tattnall County School District,School Board,1304770
Taylor County,County Commission,13269
Taylor County School District,School Board,1304800
Telfair County,County Commission,13271
Telfair County School District,School Board,1304830
Terrell County,County Commission,13273
Terrell County School District,School Board,1304860
Thomas County,County Commission,13275
Thomas County School District,School Board,1304890
Thomasville,City Council,1376224
Thomasville City School District,School Board,1304950
Tift County,County Commission,13277
Tift County School District,School Board,1304980
Tifton,City Council,1376476
Toombs County,County Commission,13279
Toombs County School District,School Board,1305040
Towns County,County Commission,13281
Towns County School District,School Board,1305070
Treutlen County,County Commission,13283
Treutlen County School District,School Board,1305100
Trion City School District,School Board,1305130
Troup County,County Commission,13285
Troup County School District,School Board,1300001
Tucker,City Council,1377652
Turner County,County Commission,13287
Turner County School District,School Board,1305190
Twiggs County,County Commission,13289
Twiggs County School District,School Board,1305220
Union City,City Council,1378324
Union County,County Commission,13291
Union County School District,School Board,1305250
Upson County,County Commission,13293
Upson County School District,School Board,1305280
Valdosta,City Council,1378800
Valdosta City School District,School Board,1305310
Vidalia,City Council,1379388
Vidalia City School District,School Board,1305340
Villa Rica,City Council,1379528
Walker County,County Commission,13295
Walker County School District,School Board,1305370
Walton County,County Commission,13297
Walton County School District,School Board,1305390
Ware County,County Commission,13299
Ware County School District,School Board,1305430
Warner Robins,City Council,1380508
Warren County,County Commission,13301
Warren County School District,School Board,1305460
Washington County,County Commission,13303
Washington County School District,School Board,1305490
Waycross,City Council,1380956
Wayne County,County Commission,13305
Wayne County School District,School Board,1305550
Webster County,County Commission,13307
Webster County School District,School Board,1305580
Wheeler County,County Commission,13309
Wheeler County School District,School Board,1305640
White County,County Commission,13311
White County School District,School Board,1305670
Whitfield County,County Commission,13313
Whitfield County School District,School Board,1305700
Wilcox County,County Commission,13315
Wilcox County School District,School Board,1305730
Wilkes County,County Commission,13317
Wilkes County School District,School Board,1305760
Wilkinson County,County Commission,13319
Wilkinson County School District,School Board,1305790
Winder,City Council,1383420
Woodstock,City Council,1384176
Worth County,County Commission,13321
Worth County School District,School Board,1305850
